FOLDERYEAR,BusinessName,BusinessTradeName,BusinessType,BusinessSubType,Address,City,LocalArea,NumberofEmployees,FeePaid
24,(Andrea Heald),The Joy of English,ESL Instruction,ESL Instruction - 18 and Over,,Vancouver,Kitsilano,1.0,292.0
24,Tamwood International College Ltd,Tamwood Language Centres,ESL Instruction,ESL Instruction - 18 and Over,800 Unit 549 HOWE ST,Vancouver,Downtown,9.0,250.0
24,Sprott Shaw Language College (BC) Corp,Sprott Shaw Language College (SSLC),ESL Instruction,ESL Instruction - Under 18,200 & 203 Unit 535 HOWE ST,Vancouver,Downtown,30.0,250.0
24,Samra Trucking Ltd,,Equipment Operator,,,Vancouver,Victoria-Fraserview,4.0,219.0
24,(Nelson Chang),Mystical Magic Productions,Entertainment Services,Other,,Vancouver,Grandview-Woodland,1.0,250.0
24,Inscript Language & Writing Inc,,Entertainment Services,Writer/Editor,601 Unit 2268 Redbud Lane,Vancouver,Kitsilano,2.0,250.0
24,CKNW/CFMI A Div of Corus Premium Television,,Entertainment Services,Radio Station,2100 Unit 700 W GEORGIA ST,Vancouver,Downtown,50.0,250.0
24,International Conference Services Ltd,,Entertainment Services,Event Coordinator,710 Unit 1201 W PENDER ST,Vancouver,Downtown,60.0,250.0
24,Silo Entertainment Inc,Silo Entertainment,Entertainment Services,Producer,,Vancouver,Mount Pleasant,1.0,250.0
24,Leuvino T Damian (Leuvino Damian),Wish Events,Entertainment Services,Event Coordinator,,Vancouver,Killarney,1.0,250.0
24,Pebble Star Productions Inc,Pebble Star Productions,Entertainment Services,Children's Entertainment,,Vancouver,Kitsilano,2.0,292.0
24,Murray Garnet Gillespie (Murray Gillespie),James Bond Canada,Entertainment Services,Event Coordinator,,Vancouver,West End,3.0,250.0
24,Tu Do Vancouver Newspaper (2013) Ltd,,Entertainment Services,Writer/Editor,,Vancouver,Renfrew-Collingwood,1.0,250.0
24,Nicole R Fox (Nicole Fox),LAMP Projects,Entertainment Services,Event Coordinator,,Vancouver,Riley Park,2.0,292.0
24,Breanne Elizabeth Dodge (Breanne Dodge),ThistleBEA your wedding,Entertainment Services,Event Coordinator,400 Unit 319 W HASTINGS ST,Vancouver,Downtown,1.0,250.0
24,Henna R Roine (Henna Roine),Believe Party Entertainment,Entertainment Services,Children's Entertainment,,Vancouver,Oakridge,1.0,292.0
24,Claire L Lordon (Claire Lordon),Claire Lordon Design,Entertainment Services,Writer/Editor,,Vancouver,Kitsilano,1.0,250.0
24,Social Concierge Inc,,Entertainment Services,Event Coordinator,,Vancouver,Downtown,2.0,250.0
24,(James Nesbitt),James Nesbitt Communications,Entertainment Services,Writer/Editor,,Vancouver,West End,1.0,250.0
24,The Attisha Group Enterprises Inc,Tag Alliances,Entertainment Services,Event Coordinator,300 Unit 1055 W HASTINGS ST,Vancouver,Downtown,4.0,252.0
24,Tads Productions Inc,,Entertainment Services,Writer/Editor,,Vancouver,Downtown,9.0,292.0
24,Lusheen J O Beaumont (Lusheen Beaumont),Jaybard's Quill,Entertainment Services,Writer/Editor,,Vancouver,West End,1.0,292.0
24,(Norah Holtby),Gabba Productions,Entertainment Services,Dance/Event Promoter,,Vancouver,Grandview-Woodland,1.0,250.0
24,POP-ING Marketing Ltd,,Entertainment Services,Event Coordinator,106 Unit 8889 LAUREL ST,Vancouver,Marpole,3.0,292.0
24,Vancouver Chinatown Foundation for Community Revitalization,Chinatown Storytelling Centre,Entertainment Services,Other,168 E PENDER ST,Vancouver,Downtown,3.0,250.0
24,(Alan Yoshioka),AY's Edit,Entertainment Services,Writer/Editor,,Vancouver,Marpole,1.0,250.0
24,Imaginal Entertainment Inc,,Entertainment Services,Event Coordinator,,Vancouver,Dunbar-Southlands,2.0,292.0
24,Tiffany C Tarampi (Tiffany Tarampi),,Entertainment Services,Writer/Editor,,Vancouver,Renfrew-Collingwood,1.0,250.0
24,Domenica A K Morales (Domenica Kozy),You Forever,Entertainment Services,Event Coordinator,,Vancouver,Kitsilano,1.0,250.0
24,(Harprit Jaswal),Always and Forever Weddings,Entertainment Services,Event Coordinator,,Vancouver,Sunset,1.0,250.0
24,(Holly Heuver),Holly Heuver Social,Entertainment Services,Writer/Editor,,Vancouver,Shaughnessy,1.0,250.0
24,(Jana Slavikova),Jaluxe Events,Entertainment Services,Event Coordinator,,Vancouver,West End,1.0,250.0
24,Xi X Huang (Xi Huant),Lily Huang Editing,Entertainment Services,Writer/Editor,,Vancouver,Victoria-Fraserview,1.0,250.0
24,Baker Man Media Inc,,Entertainment Services,Writer/Editor,,Vancouver,Dunbar-Southlands,1.0,292.0
24,Rec Trek Activities Inc,Rec Trek Activities,Entertainment Services,Event Coordinator,,Vancouver,Strathcona,2.0,250.0
24,Divah Investments Ltd,Sophisticated Adventure Consulting,Entertainment Services,Event Coordinator,,Vancouver,Grandview-Woodland,1.0,250.0
24,(Timur Baytukalov),Easy Hypnosis,Entertainment Services,Hypnotist,,Vancouver,South Cambie,1.0,250.0
24,(Christopher Saito),,Entertainment Services,Event Coordinator,212 Unit 1111 PACIFIC ST,Vancouver,West End,1.0,250.0
24,(Ally Potel),Flyberry Events,Entertainment Services,Event Coordinator,,Vancouver,Kitsilano,1.0,292.0
24,Simon Cooksley Event Design Inc,,Entertainment Services,Event Coordinator,,Vancouver,West End,2.0,250.0
24,Samantha Svay and Colin Cuthbert,Phantom Sound Media,Entertainment Services,Other,,Vancouver,Grandview-Woodland,2.0,250.0
24,Leading Edge Events Inc,,Entertainment Services,Event Coordinator,404 Unit 999 CANADA PLACE,Vancouver,Downtown,1.0,250.0
24,EVENTLAB INC.,EventLAB,Entertainment Services,Event Coordinator,,Vancouver,Fairview,1.0,250.0
24,Penny World Entertainment Inc,EXIT Gas Town,Entertainment Centre,,100 Unit 289 ABBOTT ST,Vancouver,Downtown,7.0,432.0
24,VXR Entertainment Corp,Zero Latency Vancouver,Entertainment Centre,,101 Unit 370 E BROADWAY,Vancouver,Mount Pleasant,7.0,475.0
24,(Priscilla Yung),,Single Detached House,,,Vancouver,West Point Grey,1.0,87.0
24,9305076 Canada Ltd,Sprouts Landscapes,Landscape Gardener,,40 Unit 954 SW MARINE DRIVE,Vancouver,Marpole,5.0,590.0
24,MD Tauabur Rahman (MD Rahman),Artistic Maintenance,Landscape Gardener,,,Vancouver,Victoria-Fraserview,1.0,340.0
24,Bishop Landscaping Ltd,,Landscape Gardener,,1441 POWELL ST,Vancouver,Grandview-Woodland,12.0,590.0
24,(Binh Ho),Niceland Gardening,Landscape Gardener,,,Vancouver,Killarney,1.0,340.0
24,Yi Yan Huang (Yi Huang),Four Season Landscape,Landscape Gardener,,,Vancouver,Victoria-Fraserview,1.0,340.0
24,Marco Antonio Sayo (Marco Sayo),Sayo Landscape & Gardening Services,Landscape Gardener,,,Vancouver,Marpole,1.0,382.0
24,Leaf It To Me Garden Management Services,,Landscape Gardener,,,Vancouver,Kitsilano,3.0,340.0
24,(Andrew Pereda),Pereda Gardenscape Services,Landscape Gardener,,,Vancouver,Killarney,2.0,340.0
24,Lilypad Creative Inc,,Landscape Gardener,,,Vancouver,Kitsilano,1.0,340.0
24,Zi Zhen Huang (Zi Zhen Huang),C H Gardens,Landscape Gardener,,,Vancouver,Kensington-Cedar Cottage,1.0,590.0
24,(Christopher Bauer),Chris Bauer Landscapes,Landscape Gardener,,,Vancouver,Mount Pleasant,5.0,340.0
24,Jian Gong Lin (Jian Lin),Dalin Gardening,Landscape Gardener,,,Vancouver,Killarney,2.0,632.0
24,Anna Moogk Landscape Design Inc,Anna Moogk Landscape Design,Landscape Gardener,,,Vancouver,West Point Grey,3.0,340.0
24,Gardencraft Design Ltd,,Landscape Gardener,,,Vancouver,Riley Park,1.0,340.0
24,Gold Maple Landscaping Inc,,Landscape Gardener,,,Vancouver,Sunset,2.0,660.0
24,Mowology Lawns & Landscapes Ltd,Mowology,Landscape Gardener,,,Vancouver,Kitsilano,4.0,382.0
24,Marita V Eden (Marita Eden),Mt Pleasant Garden-Making,Landscape Gardener,,,Vancouver,Mount Pleasant,3.0,340.0
24,(Marten Penrose),,Landscape Gardener,,,Vancouver,,1.0,340.0
24,Minh Hoang Le (Minh Le),,Landscape Gardener,,,Vancouver,Sunset,1.0,211.0
24,Tommy Le Lawn And Landscape Services Inc,Tommy Le Lawn & Landscapes,Landscape Gardener,,,Vancouver,Victoria-Fraserview,3.0,590.0
24,Groundswell Landscape Architecture Inc,,Landscape Gardener,,337 E 40TH AV,Vancouver,Riley Park,1.0,340.0
24,Quant Landscaping Services Inc,,Landscape Gardener,,,Vancouver,Marpole,3.0,340.0
24,Bearmark Design & Landscape Ltd,,Landscape Gardener,,117 Unit 2323 BOUNDARY ROAD,Vancouver,Hastings-Sunrise,10.0,340.0
24,(Yukio Kumagai),Joe Kumagai Garden Service,Landscape Gardener,,,Vancouver,Renfrew-Collingwood,1.0,340.0
24,1194388 BC LTD,Eenie Meenie Miny Mow Landscaping,Landscape Gardener,,,Vancouver,Renfrew-Collingwood,2.0,590.0
24,Kevin M Jinn (Kevin  Jinn),Carleton Landscaping,Landscape Gardener,,,Vancouver,Renfrew-Collingwood,1.0,340.0
24,Scott T Ovens (Scott Ovens),The Social Gardener,Landscape Gardener,,,Vancouver,West Point Grey,1.0,340.0
24,(Riley Gallant),Vancouver GardenBox,Landscape Gardener,,,Vancouver,Renfrew-Collingwood,4.0,632.0
24,(Minoru Echizenya),Little Walnuts Tree Landscape & Design,Landscape Gardener,,,Vancouver,Kensington-Cedar Cottage,1.0,590.0
24,Andrew S Madai (Andrew Madai),The Bees Knees Landscaping,Landscape Gardener,,,Vancouver,Kensington-Cedar Cottage,3.0,590.0
24,(Ahmad Subekhi),Subekhi Gardening,Landscape Gardener,,,Vancouver,Kitsilano,1.0,340.0
24,(Eva Meharg),Tending the Garden,Landscape Gardener,,,Vancouver,Riley Park,1.0,382.0
24,Bloomingfields Garden Care & Design Inc,,Landscape Gardener,,,Vancouver,West End,6.0,340.0
24,Bluestone Landscape Limited,,Landscape Gardener,,,Vancouver,Renfrew-Collingwood,3.0,590.0
24,BC Pavilion Corporation,BC Place Stadium,Liquor Establishment Standard,Class 7 (Private Club),1 ROBSON ST,Vancouver,Downtown,355.0,641.0
24,Royal Vancouver Yacht Club,Mermaid Inn,Liquor Establishment Standard,Class 7 (Private Club),950 Stanley Park Dr,Vancouver,West End,4.0,435.0
24,Sandman Inn Vancouver Ltd,M-Bar,Liquor Establishment Standard,Class 2  66-150 Seats,180 W Georgia St,Vancouver,Downtown,71.0,878.0
24,Terminal City Club Inc,Terminal City Club - TC Lions Pub,Liquor Establishment Standard,Class 2  66-150 Seats,888 W Cordova St,Vancouver,Downtown,26.0,975.0
24,Brockton Pavilion Society,Brockton Clubhouse,Liquor Establishment Standard,Class 7 (Private Club),1151 Stanley Park Dr,Vancouver,West End,4.0,641.0
24,Jalm Holdings Ltd,Bridges,Liquor Establishment Standard,Class 2  66-150 Seats,1696 Duranleau St,Vancouver,Fairview,165.0,2258.0
24,Rayman Investments & Management Inc,Dockside Brewing Company,Liquor Establishment Standard,Class 1  0-65 Seats,1253 Johnston St,Vancouver,Fairview,6.0,450.0
24,Royal Canadian Legion Branch No 142,,Liquor Establishment Standard,Class 7 (Private Club),3679 W Broadway,Vancouver,Kitsilano,5.0,758.0
24,The Vancouver Club,Vancouver Club,Liquor Establishment Standard,Class 7 (Private Club),915 W Hastings St,Vancouver,Downtown,125.0,641.0
24,Sylvia Hotel Ltd,Sylvia Hotel,Liquor Establishment Standard,Class 1  0-65 Seats,1154 Gilford St,Vancouver,West End,85.0,390.0
24,549331 BC Ltd,Princeton Hotel Pub,Liquor Establishment Standard,Class 2  66-150 Seats,1901 Powell St,Vancouver,Grandview-Woodland,5.0,907.0
24,Pan Pacific Hotels and Resorts America Inc,Coal Harbour Bar,Liquor Establishment Standard,Class 2  66-150 Seats,300 Unit 999 CANADA PLACE,Vancouver,Downtown,20.0,923.0
24,Marriott Hotels of Canada Ltd,Vancouver Marriott Pinnacle Hotel,Liquor Establishment Standard,Class 1  0-65 Seats,1128 W HASTINGS ST,Vancouver,Downtown,10.0,413.0
24,Joeys Restaurant (Bentall One) Inc,The Wine Room at Joey Bentall One,Liquor Establishment Standard,Class 2  66-150 Seats,507 BURRARD ST,Vancouver,Downtown,100.0,548.0
24,Army Navy & Air Force Veterans in Canada #100,,Liquor Establishment Standard,Class 7 (Private Club),2211 Kingsway,Vancouver,Kensington-Cedar Cottage,5.0,641.0
24,PR Grand Hotel Management Limited Partnership,Hilton Vancouver Downtown - Hendricks Resto Lounge,Liquor Establishment Standard,Class 1  0-65 Seats,433 ROBSON ST,Vancouver,Downtown,25.0,293.0
24,RTD Canada Inc,Stanley Park Brew Pub,Liquor Establishment Standard,Class 1  0-65 Seats,8901 STANLEY PARK DRIVE,Vancouver,West End,94.0,375.0
24,1111539 BC Ltd,Prive Kitchen + Bar,Liquor Establishment Standard,Class 4  301-500 Seats,200 Unit 1001 W BROADWAY,Vancouver,Fairview,25.0,2583.0
24,1388730 BC Ltd,Village Pub,Liquor Establishment Standard,Class 2  66-150 Seats,7725 CHAMPLAIN CRESCENT,Vancouver,Killarney,1.0,728.0
24,GP Sullivan Enterprises Ltd,Soho Cafe Billiards,Liquor Establishment Extended,Class 2  66-150 Seats,Bsmt Unit 1283 HAMILTON ST,Vancouver,Downtown,12.0,2530.0
24,United Croats Of Canada King Tomislav Branch,,Liquor Establishment Extended,Class 7 (Private Club),3250 Commercial Dr,Vancouver,Kensington-Cedar Cottage,12.0,2162.0
24,Yaletown Brewing Company & Restaurant Corp,Yaletown Brewing Co Pub & Restaurant,Liquor Establishment Extended,Class 2  66-150 Seats,1111 Mainland St,Vancouver,Downtown,97.0,2509.0
24,The Fringe Cafe Ltd,,Liquor Establishment Extended,Class 1  0-65 Seats,3124 W Broadway,Vancouver,Kitsilano,5.0,1020.0
24,Granville Room Enterprises Ltd,The Granville Room,Liquor Establishment Extended,Class 1  0-65 Seats,957 GRANVILLE ST,Vancouver,Downtown,18.0,612.0
24,Darby's Hospitality Inc,Darby D Dawes Neighbourhood Public House,Liquor Establishment Extended,Class 2  66-150 Seats,2001 MACDONALD ST,Vancouver,Kitsilano,20.0,1816.0
24,St Regis Investments Ltd,St Regis Bar & Grill,Liquor Establishment Extended,Class 2  66-150 Seats,608 Dunsmuir,Vancouver,Downtown,35.0,2305.0
24,The Point Bar & Grill Ltd,Lift Bar Grill View,Liquor Establishment Extended,Class 1  0-65 Seats,333 MENCHIONS MEWS,Vancouver,Downtown,60.0,1326.0
24,Hyde Entertainment Ltd,Cabana,Liquor Establishment Extended,Class 3  151-300 Seats,1163 GRANVILLE ST,Vancouver,Downtown,40.0,6385.0
24,Fulop Investment Corp,The Granville Strip,Liquor Establishment Extended,Class 3  151-300 Seats,1050 GRANVILLE ST,Vancouver,Downtown,29.0,5715.0
24,Hastings Administration Corp,,Liquor Establishment Extended,Class 2  66-150 Seats,1489 E HASTINGS ST,Vancouver,Grandview-Woodland,6.0,1836.0
24,Thornton Park Holdings Ltd,The American,Liquor Establishment Extended,Class 3  151-300 Seats,926 MAIN ST,Vancouver,Strathcona,20.0,6193.0
24,The Gateway Hotel Inc,The Morrissey,Liquor Establishment Extended,Class 2  66-150 Seats,1227 GRANVILLE ST,Vancouver,Downtown,20.0,1644.0
24,0781955 BC Ltd,Studio,Liquor Establishment Extended,Class 3  151-300 Seats,919 GRANVILLE ST,Vancouver,Downtown,30.0,5897.0
24,Donnellan's Irish Bar Ltd,Donnellan's Irish Pub,Liquor Establishment Extended,Class 3  151-300 Seats,1082 GRANVILLE ST,Vancouver,Downtown,25.0,4712.0
24,1194196 BC Ltd,1181,Liquor Establishment Extended,Class 1  0-65 Seats,1181 DAVIE ST,Vancouver,West End,8.0,1204.0
24,Breakfast Table Eatery Group Ltd,Breakfast Table,Liquor Establishment Extended,Class 1  0-65 Seats,3014 GRANVILLE ST,Vancouver,Fairview,17.0,408.0
24,Leo C Chow (Leo Chow),Brickhouse Bistro,Liquor Establishment Extended,Class 2  66-150 Seats,730 Main St,Vancouver,Strathcona,3.0,2652.0
24,Yang-Myung Hotel Management Ltd,Astoria Hotel,Liquor Establishment Extended,Class 3  151-300 Seats,769 E Hastings St,Vancouver,Strathcona,8.0,4649.0
24,Qu Canada Enterprise Ltd,Bar None Nightclub,Liquor Establishment Extended,Class 3  151-300 Seats,1222 HAMILTON ST,Vancouver,Downtown,30.0,6059.0
24,Golder Enterprises Ltd,Par-Tee Putt,Liquor Establishment Extended,Class 3  151-300 Seats,670 SMITHE ST,Vancouver,Downtown,20.0,5284.0
24,Leopold's Tavern West Broadway Vancouver Inc,Leopold's Tavern,Liquor Establishment Extended,Class 2  66-150 Seats,1619 W BROADWAY,Vancouver,Fairview,40.0,2346.0
24,JKTN Vancouver Inc,The Pearl Ballroom,Liquor Establishment Extended,Class 4  301-500 Seats,881 GRANVILLE ST,Vancouver,Downtown,30.0,7988.0
24,Cold Tea Restaurant Ltd,,Liquor Establishment Extended,Class 2  66-150 Seats,1193 GRANVILLE ST,Vancouver,Downtown,26.0,3366.0
24,1434463 BC Ltd,Foy's Irish Bar & Grill,Liquor Establishment Extended,Class 2  66-150 Seats,395 KINGSWAY,Vancouver,Mount Pleasant,41.0,1550.0
24,MRG Biltmore Operations Ltd,Howard Johnson Plaza Hotel - Biltmore Cabaret,Liquor Establishment Extended,Class 4  301-500 Seats,2755 PRINCE EDWARD ST,Vancouver,Mount Pleasant,32.0,7254.0
24,Liberty Wine Merchants Ltd,,Liquor Delivery Services,,4583 W 10th Av,Vancouver,West Point Grey,13.0,219.0
24,Downtown Lock'n'Key Ltd,,Locksmith,,2743 E 2ND AV,Vancouver,Hastings-Sunrise,1.0,219.0
24,Guido Ernest Bruhn & Riitta Hillev Rahkola,Ben's Security Locksmiths,Locksmith,,692 E HASTINGS ST,Vancouver,Strathcona,3.0,219.0
24,Al Scott Lock & Safe Ltd,,Locksmith,,102A Unit 505 Burrard St,Vancouver,Downtown,2.0,219.0
24,Tae K Kim (Tae Kim),Archer Lock Services,Locksmith,,L21A Unit 555 W HASTINGS ST,Vancouver,Downtown,1.0,219.0
24,Fast Locksmith & Garage Doors Ltd,,Locksmith,,323 RENFREW ST,Vancouver,Hastings-Sunrise,1.0,261.0
24,Duso's Foods Ltd,,Ltd Service Food Establishment,,315 Unit 1689 Johnston St,Vancouver,Fairview,14.0,653.0
24,Gourmet Wok Co Ltd,,Ltd Service Food Establishment,,176 Unit 1689 JOHNSTON ST,Vancouver,Fairview,7.0,653.0
24,Siegels Bagels (2000) Ltd,Siegels Bagels,Ltd Service Food Establishment,,325 Unit 1689 JOHNSTON ST,Vancouver,Fairview,12.0,653.0
24,Subway,Subway Restaurant,Ltd Service Food Establishment,,1255 GRANVILLE ST,Vancouver,Downtown,5.0,653.0
24,Subway,Subway,Ltd Service Food Establishment,,1095 HORNBY ST,Vancouver,Downtown,8.0,653.0
24,Dara Ali Abdulla (Dara Abdulla),New Brandiz Fastfood,Ltd Service Food Establishment,,100 E HASTINGS ST,Vancouver,Downtown,4.0,653.0
24,652321 BC Ltd,The Firewood Cafe,Ltd Service Food Establishment,,3004 CAMBIE ST,Vancouver,Mount Pleasant,10.0,718.0
24,(Raymond Poirier),Second Beach Concession,Ltd Service Food Establishment,Concession Stand,8501 STANLEY PARK DRIVE,Vancouver,West End,15.0,327.0
24,Pizza Hut,Pizza Hut,Ltd Service Food Establishment,,8155 GRANVILLE ST,Vancouver,Marpole,10.0,653.0
24,Pizza Hut,Pizza Hut #4807,Ltd Service Food Establishment,,6082 FRASER ST,Vancouver,Sunset,12.0,653.0
24,Pizza Hut,Pizza Hut,Ltd Service Food Establishment,,4 Unit 1725 ROBSON ST,Vancouver,West End,10.0,653.0
24,0799010 BC Ltd,Booster Juice,Ltd Service Food Establishment,,2430 COMMERCIAL DRIVE,Vancouver,Grandview-Woodland,6.0,653.0
24,Immaculate Confection Ltd,Rocky Mountain Chocolate Factory,Ltd Service Food Establishment,,1017 Robson St,Vancouver,West End,17.0,653.0
24,JJ Bean,JJ Bean Coffee Roaster,Ltd Service Food Establishment,,740 HAMILTON ST,Vancouver,Downtown,5.0,653.0
24,Nhuan Lai Chung (Nhuan Chung),Pho Nhuan Restaurant,Ltd Service Food Establishment,,2989 RUPERT ST,Vancouver,Renfrew-Collingwood,2.0,653.0
24,673393 BC Ltd,Mr Sub,Ltd Service Food Establishment,,2885 E BROADWAY,Vancouver,Hastings-Sunrise,5.0,653.0
24,Thi Hang Nguyen (Thi Nguyen),Pho Tan's Vietnamese Restaurant,Ltd Service Food Establishment,,3281 KINGSWAY,Vancouver,Renfrew-Collingwood,7.0,653.0
24,7-Eleven Canada Inc Store 32999,7-Eleven Store,Ltd Service Food Establishment,,596 Seymour St,Vancouver,Downtown,6.0,748.0
24,Golden Prata House Fast Food Ltd,Java Express Neighborhood Cafe,Ltd Service Food Establishment,,675 W 10TH AV,Vancouver,Fairview,2.0,653.0
24,Blenz,Blenz Coffee,Ltd Service Food Establishment,,232 HOWE ST,Vancouver,Downtown,8.0,653.0
24,0871745 BC Ltd,Fraser Valley Juice & Salad Bar,Ltd Service Food Establishment,,245 Unit 1689 JOHNSTON ST,Vancouver,Fairview,13.0,653.0
24,Subway,Subway,Ltd Service Food Establishment,,10A Unit 555 W 12TH AV,Vancouver,Fairview,5.0,653.0
24,KFC,Kentucky Fried Chicken #1814,Ltd Service Food Establishment,,2190 KINGSWAY,Vancouver,Kensington-Cedar Cottage,13.0,653.0
24,KFC,Kentucky Fried Chicken Store #1824,Ltd Service Food Establishment,,795 E BROADWAY,Vancouver,Mount Pleasant,14.0,675.0
24,Max's Bakery & Deli Ltd,Max's Bakery & Delicatessen,Ltd Service Food Establishment,,3105 OAK ST,Vancouver,Fairview,19.0,653.0
24,462751 BC Ltd,Fresh Counter & Catering,Ltd Service Food Establishment,,402 Unit 1055 DUNSMUIR ST,Vancouver,Downtown,4.0,653.0
24,(Ronald Cheung),Anna's Cake House,Ltd Service Food Establishment,,5510 Cambie,Vancouver,Riley Park,3.0,653.0
24,(Tony Lorenco),Pizza Pzazz,Ltd Service Food Establishment,,1689 Johnston St,Vancouver,Fairview,20.0,653.0
24,(Donald Joe),Donald's Market,Ltd Service Food Establishment,,2342 E HASTINGS ST,Vancouver,Grandview-Woodland,60.0,718.0
24,Ayoub Dousti & Karim Zibaram,Super Great Pizza,Ltd Service Food Establishment,,3388 Vanness Av,Vancouver,Renfrew-Collingwood,6.0,653.0
24,Metropolitian Co Operative Theatre Society,,Ltd Service Food Establishment,,1370 SW MARINE DRIVE,Vancouver,Marpole,4.0,718.0
24,Domino's Pizza,Domino's Pizza,Ltd Service Food Establishment,,4298 DUNBAR ST,Vancouver,Dunbar-Southlands,7.0,653.0
24,(Ronald Cheung),Anna's Cake House,Ltd Service Food Establishment,,606 E Broadway,Vancouver,Mount Pleasant,28.0,653.0
24,(Annie Tan),Hawker's Delight,Ltd Service Food Establishment,,4127 Main St,Vancouver,Riley Park,7.0,653.0
24,Euro-Food Plus Enterprises Inc,,Ltd Service Food Establishment,,818 Bidwell St,Vancouver,West End,5.0,653.0
24,(Reza Shahsavar),Vancouver Donair,Ltd Service Food Establishment,,933 Commercial Dr,Vancouver,Grandview-Woodland,1.0,653.0
24,Kwong Hon Enterprises Ltd,Kent's Kitchen,Ltd Service Food Establishment,,5659 VICTORIA DRIVE,Vancouver,Kensington-Cedar Cottage,12.0,653.0
24,Body Energy Club,,Ltd Service Food Establishment,,746 DAVIE ST,Vancouver,Downtown,15.0,653.0
24,Jasmine Halal Meat & Medetar Produce Enter Ltd,Halal Meat & Deli,Ltd Service Food Establishment,,4323 Main St,Vancouver,Riley Park,15.0,653.0
24,Shan Fung International Investments Inc,King's Wok,Ltd Service Food Establishment,,27 Unit 555 W 12TH AV,Vancouver,Fairview,4.0,653.0
24,Dallas Pizza Ltd,,Ltd Service Food Establishment,,613 E BROADWAY,Vancouver,Mount Pleasant,3.0,653.0
24,New Bahia Sweet Shop & Restaurant Ltd,,Ltd Service Food Establishment,,5740 Fraser St,Vancouver,Sunset,5.0,653.0
24,Laughing Bean Coffee Co Ltd,,Ltd Service Food Establishment,,2695 E HASTINGS ST,Vancouver,Hastings-Sunrise,14.0,653.0
24,Pita Express Ltd,,Ltd Service Food Establishment,,FC02 Unit 200 BURRARD ST,Vancouver,Downtown,3.0,653.0
24,Napoletana Pizza Ltd,,Ltd Service Food Establishment,,2576 ARBUTUS ST,Vancouver,Kitsilano,5.0,653.0
24,Best Hope Holdings Inc,Hopewell Chinese Kitchen,Ltd Service Food Establishment,,213 Unit 2800 E 1ST AV,Vancouver,Hastings-Sunrise,7.0,653.0
24,Tandoori Palace Restaurant Ltd,Tandoori Palace,Ltd Service Food Establishment,,1439 COMMERCIAL DRIVE,Vancouver,Grandview-Woodland,10.0,653.0
24,Saverio Gallo & Massimiliano Gallo & Salvatore Gallo,Yaletown Gelato,Ltd Service Food Establishment,,122 Suite 1208 HOMER ST,Vancouver,Downtown,6.0,653.0
24,Vancouver Veggi Pizza Ltd,,Ltd Service Food Establishment,,2 Unit 7247 MAIN ST,Vancouver,Sunset,4.0,718.0
24,Dung Thi Nguyen (Dung Nguyen),Cafe Xu Hue,Ltd Service Food Establishment,,2226 KINGSWAY,Vancouver,Kensington-Cedar Cottage,3.0,653.0
24,Thuy Ngoc Bich Hong (Thuy Hong),Bon Cafe,Ltd Service Food Establishment,,4909 MAIN ST,Vancouver,Riley Park,3.0,653.0
24,Bambooshrimp Marketing Ltd,EBI-TEN,Ltd Service Food Establishment,,388 ROBSON ST,Vancouver,Downtown,20.0,653.0
24,Finest at Sea Seafood Boutiques Vancouver Ltd,Finest At Sea,Ltd Service Food Establishment,,4675 ARBUTUS ST,Vancouver,Arbutus-Ridge,12.0,718.0
24,Grounds For Coffee Inc,Grounds For Coffee,Ltd Service Food Establishment,,2565 ALMA ST,Vancouver,West Point Grey,20.0,653.0
24,Anmol Beverage Enterprise Ltd,Jugo Juice,Ltd Service Food Establishment,,1103 ROBSON ST,Vancouver,West End,6.0,653.0
24,SD Pero Holdings Inc,Pasticceria Italia Bread & Deli,Ltd Service Food Establishment,,2828 E HASTINGS ST,Vancouver,Hastings-Sunrise,11.0,653.0
24,0784018 BC Ltd,Angel Cake Shop Cafe,Ltd Service Food Establishment,,5991 FRASER ST,Vancouver,Sunset,3.0,653.0
24,Cobs Bread,Cobs Bread,Ltd Service Food Establishment,,140 Unit 1160 DAVIE ST,Vancouver,West End,12.0,653.0
24,(Giancarlo Cimmarusti),Giancarlo's,Ltd Service Food Establishment,,1865 COMMERCIAL DRIVE,Vancouver,Grandview-Woodland,2.0,653.0
24,Trieu Enterprises Ltd,One Saigon Bistro,Ltd Service Food Establishment,,979 HORNBY ST,Vancouver,Downtown,3.0,653.0
24,Hot Delivery (2007) Ltd,,Ltd Service Food Establishment,,3002 CAMBIE ST,Vancouver,Mount Pleasant,4.0,653.0
24,Hitoe Enterprises Ltd,Hitoe Sushi Japanese Restaurant,Ltd Service Food Establishment,,3347 W 4TH AV,Vancouver,Kitsilano,13.0,653.0
24,Piast Bakery & Deli Ltd,Piast Bakery & Deli,Ltd Service Food Establishment,,3280 CAMBIE ST,Vancouver,Riley Park,4.0,718.0
24,Tim Hortons,Tim Hortons,Ltd Service Food Establishment,,3463 DUNBAR ST,Vancouver,Dunbar-Southlands,15.0,2041.0
24,Yori Holdings Ltd,Thai Express,Ltd Service Food Establishment,,FC-06 Unit 701 W GEORGIA ST,Vancouver,Downtown,8.0,718.0
24,Plaisir Sucre Bakery Ltd,,Ltd Service Food Establishment,,2668 ARBUTUS ST,Vancouver,Kitsilano,4.0,653.0
